date,nifty_price_close
2026-02-06,83580.3984375
2026-02-09,84065.75
2026-02-10,84273.921875
2026-02-11,84233.640625
2026-02-12,83674.921875
2026-02-13,82626.7578125
2026-02-16,83277.1484375
2026-02-17,83450.9609375
2026-02-18,83734.25
2026-02-19,82498.140625
2026-02-20,82814.7109375
2026-02-23,83294.65625
2026-02-24,82225.921875
2026-02-25,82276.0703125
2026-02-26,82248.609375
2026-02-27,81287.1875
2026-03-02,80238.8515625
2026-03-04,79116.1875
2026-03-05,80015.8984375
2026-03-06,78918.8984375
2026-03-09,77566.15625
2026-03-10,78205.9765625
2026-03-11,76863.7109375
2026-03-12,76034.421875
2026-03-13,74563.921875
2026-03-16,75502.8515625
2026-03-17,76070.84375
2026-03-18,76704.1328125
2026-03-19,74207.2421875
2026-03-20,74532.9609375
2026-03-23,72696.390625
2026-03-24,74068.453125
2026-03-25,75273.453125
2026-03-27,73583.21875
2026-03-30,71947.546875
2026-04-01,73134.3203125
2026-04-02,73319.546875
2026-04-06,74106.8515625
2026-04-07,74616.578125
2026-04-08,77562.8984375
2026-04-09,76631.6484375
2026-04-10,77550.25
2026-04-13,76847.5703125
2026-04-15,78111.2421875
2026-04-16,77988.6796875
2026-04-17,78493.5390625
2026-04-20,78520.296875
2026-04-21,79273.328125
2026-04-22,78516.4921875
2026-04-23,77664.0
